POSTE;DATE;FFM;DIRT
33281001;19740127;2,9;
33281001;19740128;3,9;
33281001;19740129;2,6;
33281001;19740130;3,8;
33281001;19740131;3,4;
33281001;19740201;4,6;
33281001;19740202;2,3;
33281001;19740203;2,6;
33281001;19740204;5,5;
33281001;19740205;9,0;
33281001;19740206;11,1;
33281001;19740207;5,6;
33281001;19740208;3,4;
33281001;19740209;4,5;
33281001;19740210;5,0;
33281001;19740211;5,6;
33281001;19740212;4,9;
33281001;19740213;4,0;
33281001;19740214;3,1;
33281001;19740215;3,8;
33281001;19740216;2,6;
33281001;19740217;3,1;
33281001;19740218;4,0;
33281001;19740219;2,3;
33281001;19740220;3,8;
33281001;19740221;3,1;
33281001;19740222;1,9;
33281001;19740223;3,8;
33281001;19740224;3,6;
33281001;19740225;4,4;
33281001;19740226;2,9;
33281001;19740227;2,4;
33281001;19740228;1,0;
33281001;19740301;6,0;
33281001;19740302;3,0;
33281001;19740303;4,8;
33281001;19740304;2,3;
33281001;19740305;2,0;
33281001;19740306;1,0;
33281001;19740307;2,5;
33281001;19740308;1,4;
33281001;19740309;2,6;
33281001;19740310;2,0;
33281001;19740311;2,4;
33281001;19740312;2,9;
33281001;19740313;4,1;
33281001;19740314;3,0;
33281001;19740315;4,9;
33281001;19740316;9,1;
33281001;19740317;5,0;
33281001;19740318;3,9;
33281001;19740319;2,5;
33281001;19740320;3,6;
33281001;19740321;3,4;
33281001;19740322;4,1;
33281001;19740323;2,6;
33281001;19740324;2,8;
33281001;19740325;3,4;
33281001;19740326;2,6;
33281001;19740327;1,4;
33281001;19740328;1,8;
33281001;19740329;3,9;
33281001;19740330;3,6;
33281001;19740331;1,0;
33281001;19740401;1,9;
33281001;19740402;2,6;
33281001;19740403;3,0;
33281001;19740404;2,5;
33281001;19740405;5,4;
33281001;19740406;2,5;
33281001;19740407;1,5;
33281001;19740408;2,5;
33281001;19740409;3,5;
33281001;19740410;2,9;
33281001;19740411;3,5;
33281001;19740412;1,6;
33281001;19740413;2,8;
33281001;19740414;2,9;
33281001;19740415;6,1;
33281001;19740416;4,6;
33281001;19740417;4,5;
33281001;19740418;3,4;
33281001;19740419;3,0;
33281001;19740420;3,0;
33281001;19740421;2,8;
33281001;19740422;4,4;
33281001;19740423;2,5;
33281001;19740424;4,5;
33281001;19740425;2,6;
33281001;19740426;2,9;
33281001;19740427;3,4;
33281001;19740428;2,4;
33281001;19740429;4,3;
33281001;19740430;4,4;
33281001;19740501;4,8;
33281001;19740502;3,0;
33281001;19740503;5,1;
33281001;19740504;5,8;
33281001;19740505;3,5;
33281001;19740506;3,5;
33281001;19740507;3,0;
33281001;19740508;1,6;
33281001;19740509;3,6;
33281001;19740510;3,6;
33281001;19740511;4,0;
33281001;19740512;4,9;
33281001;19740513;3,1;
33281001;19740514;2,6;
33281001;19740515;3,5;
33281001;19740516;3,4;
33281001;19740517;2,5;
33281001;19740518;2,4;
33281001;19740519;2,3;
33281001;19740520;4,4;
33281001;19740521;2,5;
33281001;19740522;3,8;
33281001;19740523;5,4;
33281001;19740524;2,6;
33281001;19740525;1,8;
33281001;19740526;1,9;
33281001;19740527;1,4;
33281001;19740528;1,5;
33281001;19740529;3,4;
33281001;19740530;4,3;
33281001;19740531;5,1;
33281001;19740601;1,8;
33281001;19740602;2,4;
33281001;19740603;2,3;
33281001;19740604;2,5;
33281001;19740605;4,9;
33281001;19740606;3,5;
33281001;19740607;1,8;
33281001;19740608;3,6;
33281001;19740609;3,6;
33281001;19740610;3,8;
33281001;19740611;3,5;
33281001;19740612;3,1;
33281001;19740613;4,4;
33281001;19740614;3,0;
33281001;19740615;1,8;
33281001;19740616;3,8;
33281001;19740617;4,6;
33281001;19740618;3,6;
33281001;19740619;2,1;
33281001;19740620;2,9;
33281001;19740621;2,5;
33281001;19740622;4,4;
33281001;19740623;2,0;
33281001;19740624;2,5;
33281001;19740625;2,3;
33281001;19740626;5,8;
33281001;19740627;5,3;
33281001;19740628;4,4;
33281001;19740629;4,9;
33281001;19740630;3,8;
33281001;19740701;4,3;
33281001;19740702;2,9;
33281001;19740703;5,9;
33281001;19740704;3,4;
33281001;19740705;2,4;
33281001;19740706;2,9;
33281001;19740707;2,4;
33281001;19740708;2,5;
33281001;19740709;3,5;
33281001;19740710;2,6;
33281001;19740711;2,0;
33281001;19740712;2,9;
33281001;19740713;3,5;
33281001;19740714;3,6;
33281001;19740715;2,4;
33281001;19740716;5,1;
33281001;19740717;4,8;
33281001;19740718;3,5;
33281001;19740719;3,6;
33281001;19740720;3,3;
33281001;19740721;3,1;
33281001;19740722;2,8;
33281001;19740723;2,8;
33281001;19740724;4,5;
33281001;19740725;3,0;
33281001;19740726;2,4;
33281001;19740727;3,1;
33281001;19740728;2,0;
33281001;19740729;2,5;
33281001;19740730;3,8;
33281001;19740731;4,3;
33281001;19740801;1,6;
33281001;19740802;2,5;
33281001;19740803;2,8;
33281001;19740804;4,9;
33281001;19740805;1,8;
33281001;19740806;2,9;
33281001;19740807;5,5;
33281001;19740808;5,8;
33281001;19740809;4,6;
33281001;19740810;5,3;
33281001;19740811;3,5;
33281001;19740812;1,4;
33281001;19740813;3,8;
33281001;19740814;2,5;
33281001;19740815;3,0;
33281001;19740816;3,8;
33281001;19740817;3,3;
33281001;19740818;3,3;
33281001;19740819;2,6;
33281001;19740820;3,8;
33281001;19740821;2,9;
33281001;19740822;3,5;
33281001;19740823;3,0;
33281001;19740824;2,6;
33281001;19740825;2,0;
33281001;19740826;3,4;
33281001;19740827;3,1;
33281001;19740828;3,3;
33281001;19740829;2,6;
33281001;19740830;3,6;
33281001;19740831;6,5;
33281001;19740901;3,5;
33281001;19740902;4,3;
33281001;19740903;4,5;
33281001;19740904;3,1;
33281001;19740905;3,9;
33281001;19740906;5,3;
33281001;19740907;5,0;
33281001;19740908;2,1;
33281001;19740909;4,3;
33281001;19740910;2,3;
33281001;19740911;3,8;
33281001;19740912;4,5;
33281001;19740913;3,0;
33281001;19740914;3,0;
33281001;19740915;3,5;
33281001;19740916;2,8;
33281001;19740917;1,6;
33281001;19740918;3,0;
33281001;19740919;2,6;
33281001;19740920;2,5;
33281001;19740921;1,9;
33281001;19740922;3,0;
33281001;19740923;5,5;
33281001;19740924;5,8;
33281001;19740925;8,3;
33281001;19740926;6,0;
33281001;19740927;4,4;
33281001;19740928;4,3;
33281001;19740929;3,9;
33281001;19740930;2,1;
33281001;19741001;3,5;
33281001;19741002;2,6;
33281001;19741003;3,4;
33281001;19741004;0,9;
33281001;19741005;1,6;
33281001;19741006;2,6;
33281001;19741007;6,4;
33281001;19741008;3,5;
33281001;19741009;1,6;
33281001;19741010;1,4;
33281001;19741011;2,0;
33281001;19741012;1,3;
33281001;19741013;1,8;
33281001;19741014;1,4;
33281001;19741015;1,1;
33281001;19741016;2,4;
33281001;19741017;2,5;
33281001;19741018;1,8;
33281001;19741019;7,4;
33281001;19741020;6,9;
33281001;19741021;4,3;
33281001;19741022;1,0;
33281001;19741023;2,0;
33281001;19741024;2,8;
33281001;19741025;1,5;
33281001;19741026;2,5;
33281001;19741027;4,0;
33281001;19741028;3,6;
33281001;19741029;3,4;
33281001;19741030;3,5;
33281001;19741031;1,8;
33281001;19741101;2,0;
33281001;19741102;1,9;
33281001;19741103;1,9;
33281001;19741104;4,1;
33281001;19741105;2,6;
33281001;19741106;2,0;
33281001;19741107;1,4;
33281001;19741108;1,5;
33281001;19741109;2,5;
33281001;19741110;2,8;
33281001;19741111;3,3;
33281001;19741112;3,6;
33281001;19741113;4,1;
33281001;19741114;5,4;
33281001;19741115;5,4;
33281001;19741116;3,5;
33281001;19741117;3,9;
33281001;19741118;3,6;
33281001;19741119;2,6;
33281001;19741120;3,0;
33281001;19741121;2,4;
33281001;19741122;3,4;
33281001;19741123;3,3;
33281001;19741124;3,3;
33281001;19741125;3,6;
33281001;19741126;7,8;
33281001;19741127;8,0;
33281001;19741128;7,5;
33281001;19741129;2,9;
33281001;19741130;3,9;
33281001;19741201;2,1;
33281001;19741202;1,4;
33281001;19741203;1,5;
33281001;19741204;2,4;
33281001;19741205;3,3;
33281001;19741206;1,6;
33281001;19741207;2,4;
33281001;19741208;1,4;
33281001;19741209;1,9;
33281001;19741210;2,3;
33281001;19741211;4,5;
33281001;19741212;4,9;
33281001;19741213;5,0;
33281001;19741214;1,9;
33281001;19741215;2,3;
33281001;19741216;2,5;
33281001;19741217;5,4;
33281001;19741218;2,6;
33281001;19741219;1,8;
33281001;19741220;1,5;
33281001;19741221;2,4;
33281001;19741222;2,6;
33281001;19741223;3,9;
33281001;19741224;4,5;
33281001;19741225;2,4;
33281001;19741226;4,1;
33281001;19741227;6,0;
33281001;19741228;5,3;
33281001;19741229;3,0;
33281001;19741230;3,0;
33281001;19741231;2,3;
33281001;19750101;1,6;
33281001;19750102;1,1;
33281001;19750103;1,0;
33281001;19750104;2,0;
33281001;19750105;1,6;
33281001;19750106;1,6;
33281001;19750107;3,4;
33281001;19750108;3,9;
33281001;19750109;1,9;
33281001;19750110;2,5;
33281001;19750111;2,4;
33281001;19750112;2,8;
33281001;19750113;4,3;
33281001;19750114;6,8;
33281001;19750115;6,1;
33281001;19750116;4,3;
33281001;19750117;5,4;
33281001;19750118;8,6;
33281001;19750119;2,3;
33281001;19750120;3,1;
33281001;19750121;2,5;
33281001;19750122;4,4;
33281001;19750123;5,5;
33281001;19750124;3,5;
33281001;19750125;4,4;
33281001;19750126;2,1;
33281001;19750127;8,0;
33281001;19750128;7,4;
33281001;19750129;7,1;
33281001;19750130;2,6;
33281001;19750131;2,6;
33281001;19750201;1,6;
33281001;19750202;4,0;
33281001;19750203;2,3;
33281001;19750204;1,8;
33281001;19750205;4,1;
33281001;19750206;4,8;
33281001;19750207;2,3;
33281001;19750208;3,9;
33281001;19750209;2,6;
33281001;19750210;2,4;
33281001;19750211;3,3;
33281001;19750212;3,3;
33281001;19750213;4,6;
33281001;19750214;2,4;
33281001;19750215;0,8;
33281001;19750216;1,3;
33281001;19750217;0,9;
33281001;19750218;1,0;
33281001;19750219;1,4;
33281001;19750220;2,8;
33281001;19750221;1,4;
33281001;19750222;4,3;
33281001;19750223;3,3;
33281001;19750224;2,4;
33281001;19750225;2,5;
33281001;19750226;4,0;
33281001;19750227;4,3;
33281001;19750228;3,8;
33281001;19750301;3,9;
33281001;19750302;4,0;
33281001;19750303;3,9;
33281001;19750304;5,8;
33281001;19750305;3,5;
33281001;19750306;3,0;
